marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	53092169	R118UFZDTS9K8P	044022165X	511419057	The Rainmaker	Books	5	2	2	N	N	A definite page turner	John Grisham's The Rainmaker keeps you guessing &amp; keeps  the pages turning as you route for the underdog &amp; recent law school graduate, Rudy Baylor, as he takes on the one of   the most revered law firms in Memphis.  I didn't expect much - but I think this is John Grisham's finest!  I highly recommend it!	1996-05-15
US	53091057	R3M7XTU4Y95NV6	0425107469	50861192	Watchers	Books	5	1	2	N	N	The best book that was ever written by Dean R. Koontz!	This was my first (I've read all his books!) and favorite book.  The story is not only compelling but heartwarming as well.  It mixes horror and science fiction (fact?) with people who are very real with   believable problems and takes you on an amazing adventure.  If you were  interested in Dean Koontz and want to try one of his books, this is the  one!	1996-05-17
US	53092180	R1KLWU5B78FKDR	0880389052	243097701	Homeland (Forgotten Realms)	Books	5	1	1	N	N	Homeland is the best book ever!!!!	I usually don't like TSR books, but Homeland just blew me  away. A society of *EVIL* 'Drow' elves live underground. One elf breaks the mold and fights for what he feels is  right. Beautifully written with increadible fighting scenes.  Intricate plot and so many twists and turns your head'll  spin.        Book #1 in a 9 book series, it actually was the fourth  book written (Crystal Shard was first, from the Icewind   Trilogy) but it is MUCH better if you read the Dark Elf   Trilogy then Icewind Trilogy and then the following 3 books.  #9th book leaves so much unanswered and I don't know if he's  going to continue. Does anyone know?	1996-05-17
US	53068480	R1BGW1GTUGJZXJ	0446310786	994527755	To Kill a Mockingbird	Books	5	0	1	N	N	Extraordinary story of courage through a child's eyes.	On the surface, first-person story of a young girl's adventures in a small southern town during the depression. Story addresses impact of economic hardship and extreme  racial injustice through the eyes of the heroine without  patronizing her.    I believe the character of &quot;Dill&quot; was based on Truman  Capote, a childhood friend of Harper Lee.    One of the finest books I have ever read; I generally  reread it every year or two.	1996-05-18
US	53092058	R5UI1Q87QAZKH	0385040199	636860937	Anne Frank: Diary of a Young Girl	Books	5	1	1	N	N	How do you review a life?	How do you review a life? Anne Frank was a child becoming an<br />adult at the onset of the Second World War, and the diary of<br />her life is the diary of any bright, perceptive young girl<br /> becoming a woman, and the diary of a Jew who died in the Nazi<br /> death camps.	1996-05-19
US	52152881	R4X9DR0KSYFXD	B000001FBU	880908728	Creatures of the Night	Music	4	1	1	N	N	Kiss' return to hard rock from Disco. One of their best.	After briefly visiting the world of Disco and commercialism,  Kiss is back with a hard and heavy return to their roots.  Includes the classics: &quot;I Love It Loud&quot;, &quot;I Still Love You&quot;   and the title track.  END	1996-05-20
US	53091884	R1TOE3LHCXE3DO	0679731377	62087535	A History of the World in 10 1/2 Chapters	Books	5	0	0	N	N	The best book I've ever read.	Barnes is a true master of the English language. This book<br />is an absolute treat to read.  Barnes ability to weive seemingly<br />unrelated subjects such as woodworms, Noah's Ark and golf into<br /> a master's thesis on human life seperates him from<br /> any author I've ever read.  Truly a &quot;History of (Humans in) the World.&quot;	1996-05-21
US	53093609	R3IME3JO53P3EM	0451169514	380266608	It	Books	5	1	1	N	N	One of Stephen King's best books	I have to say, that when Stephen King wrote this book he truly outdid himself.  Stephen King enters you into the world of  seven children that are bonded by destiny to fight evil itself  in the form of a clown that haunts them and kills other children.    After they thought they had killed IT, 20 something years later, IT  comes back and they are drawn back to their hometown to face  the same evil they faced as children but now they are adults  and actually don't have their innocence and imagination, which  were their advantages over IT.  You'll be hooked until the end  until one of the forces wins, IT or the force that draws the children  (now adults) toghether.	1996-05-22
US	53081592	R63DTB2NEMWYE	0316920045	669738240	Infinite Jest: A Novel	Books	5	0	1	N	N	Infinite Jest: I've been waiting so long...	I've been waiting for a book to take me by the hair and drag me, like Gaddis but enthralling, like Pynchon but still unread.  Wallace delivers genuis of our times (and times surely to come.)  Every character, every scene (seemingly every thought that's gone through this guy's head for the last few years...) is here.  Couldn't push it on enough of my friends -- I don't know what the naysayers could be talking about	1996-05-23
US	52510867	R1PY156QM1IKZN	0451175123	594264062	The Fountainhead: 50th Anniversary Edition	Books	5	0	0	N	N	Powerful work of Modern Philosophy; Compelling Story	Ayn Rand was the foremost advocate, and indeed the creator of objectivist philosophy.  Howark Roark is the champion of  every man or woman who has ever felt beaten down by a system  created by and for self-serving incompetents.  His unwavering  devotion to himself and his ideals is an impressive testament   to Rand's philosophy.	1996-05-23
US	53093596	R257996HG776HP	0880793589	676435922	Creative Whack Pack	Books	5	6	11	N	N	Whackiest way to change your life	What's the best way to whack yourself to a more creative way of life? Surely the Creative Whack Pack is one of the more practical systems to problem solving for anyone. I bought one sometime ago, now I'm buying four more for my colleagues at work and for Christmas I'll be buying some more	1996-05-26
US	51815472	R16BYP244BVCHV	0783811950	472619578	The Alchemist	Books	5	1	3	N	N	The Alchemist is a book that all ages can enjoy.	I think The Alchemsit is a wonderful story that can inspire anyone to realize what it is they want most from their life. The author creates a beautiful image and atmosphere that   pulls you right into the story.    Read it yourself and/or to your children.	1996-05-29
US	53088696	R3R68H9QIEKEM8	0312932081	401439625	Ender's Game (The Ender Quintet)	Books	5	0	1	N	N	The greatest book I have ever read...period.	Good Gravy!!! I read this book just after I had turned 17, and was blown away by the outstanding skill Card uses to convey his characters' humanness - their trials, tribulations,   victories and defeats. The book touched me, moved me in a way   books don't normally do - I read it in one sitting, from 2   til 5:30 in the morning - I just could NOT PUT IT DOWN!!!  Read this book, you will _not_ regret it.    BRAD ROHRER	1996-05-31
US	53091368	R3G96TSL669JZ8	0884271153	518151944	It's Not Luck	Books	4	6	6	N	N	Useful lessons in competitive strategy taught in fiction.	Review of  \\"It's Not Luck\\" by Eliyahu M. Goldratt:This story is about marketing and competitive strategy.  Alex Rogo, Mr. Goldratt's fictional hero, has to save three of his companies and hundreds of employees from the chopping block of corporate divestiture by applying logic and persuasive skills. Mr. Goldratt conducts his unique style of logical examination in a field different from that of the \\"The Goal\\", his first and more famous book.  While \\"The Goal\\" says run your production operation for cash, \\"It's Not Luck\\" says the value of a product, or an entire business, is in the eye of the buyer, not the supplier.  A management book without the jargon and trendiness you get elsewhere.	1996-06-09
US	53090541	R3CG2FPI27OUDT	0517122707	161411385	A Confederacy of Dunces	Books	5	0	0	N	N	I didn't want it to end.	I've already worn out a copy of this book, and I'm writing this review as I prepare to purchase another copy.  Don't let this book pass you by!  If you have even the slightest sense of humor, you'll be disappointed when the end finally comes.  However, Ignatius will make you laugh out loud several times before the end finally comes.  See how long it takes you to wear out your first copy...  Enjoy!	1996-06-10
US	53088488	R2X3QI9GV1WJ0N	0887307876	59233487	The Dilbert Principle: A Cubicle's-Eye View of Bosses, Meetings, Management Fads & Other Workplace Afflictions	Books	4	1	2	N	N	The most insightful and honest business book I've read.	It is amazing (and embarrassing) how often I saw myself and my co-workers described in this book. The cartoons are excellent as usual. I didn't give this book a 10 because some of the filler was very inane. I was often tempted to skip over the text just to read (and re-read) the cartoons. This book must be in your business library. It says some things about the way we manage (and are managed) in the business setting that cut right to the quick of our personalties. I couldn't read this book at work because it was too laugh out loud funny	1996-06-11
US	53089517	R3PKK9VTN56ZDP	0316920045	669738240	Infinite Jest: A Novel	Books	5	3	4	N	N	A wonderful read, if you have the time, patience, and energy	This is the kind of book that you are likely to have extreme opinions about.  You'll either love it (I fall into this category), or you'll find it completely unreadable.  There is a plot (of sorts) revolving around the Infinite Jest video (the book's McGuffin), an &quot;entertainment&quot; so completely involving that viewers will starve to death watching it over and over.  However, this is merely the backdrop for a series of stories involving tennis, drug and alcohol recovery, the nature of addiction:  the stories go on and on.<br />The book is VERY long, but  I found myself enthralled by Wallace's storytelling ability - for all of the book's modernist quirks, the good old fashioned storyteller's art saves Infinite Jest time and time again.  As with any book of this length, there are passages the book could probably do without (for my money, a long sequence involving a nuclear war game, Eschaton, would be cut), but I didn't want the book to end.  At 1000+ pages (with footnotes), some of the individual stories are left unresolved, which is perhaps part of the point; I would gladly read a sequel	1996-06-12
US	52921688	R3N01EQB2PQXLI	0399128964	88529599	Dune	Books	5	0	0	N	N	Best sci-fi novel ever written. Demands multiple readings.	This is one of perhaps 8 books that I would give a 10 to<br />and would be my unhesitating answer to the question, &quot;What<br />is the best sci-fi novel of all time?&quot;<br /><br /> Herbert has achieved what very very few sci-fi writers do:<br /> he has created a complex and utterly believable &quot;universe&quot;<br /> that is almost wholly alien to our own. Yet despite this<br /> yawning gulf, Herbert spells nothing out; we learn about the<br /> universe by seeing it through the eyes of the<br /> extraordinarily compelling characters who inhabit it.<br /><br /> This is not an easy read, and it takes more than a single<br /> reading to really appreciate it. NB: do NOT make any assumptions based on the movie. It simply<br /> doesn't compare.	1996-06-12
US	53090159	R3R3BII8RLC7DB	0060171928	318377142	Mutant Message Down Under	Books	4	0	2	N	N	Superb Novel	Despite arguements about the precision of the facts in the book, I found this book engaging and impossible to put down.  For all those jaded literary snobs, don't bother, but if you like a good story and are prepared to suspend disbelief for a short time you will find this book just what the doctor ordered	1996-06-16
US	53089508	RWZ8OLQPHC57R	0440178002	191357398	Shogun (Asian Saga)	Books	5	1	1	N	N	Out of this world!!	And you thought only science fiction could take you beyond where you are today.  James Clavell submerges you in 16th century Japan where you experience the power struggles,  romance, and even the language.  By the end of the novel,   you you will have seen peasants   getting chopped up for not bowing low enough, samurai   commiting seppuku for arriving late, and Jesuit priests   grovelling for converts.  This is probably  the best book I've ever read in terms of connecting with  the characters' own triumphs and tribulations.  Wakarimasu   ka?  Enjoy!	1996-06-19
US	53031612	R3MHENE58411LJ	0679416781	152918541	The English Patient	Books	4	0	1	N	N	Very interesting reading.	I would advise people who want to read this book to take it slowly.  Michael Ondaatje's unusual style of prose can make it very difficult reading.  But once you get through it you are definitley home free.  I really enjoyed it and advise people to open it up and enjoy.	1996-06-19
US	53079455	R1HYDKFI5NPSEO	044022165X	511419057	The Rainmaker	Books	5	1	1	N	N	This is Grisham`s best !	This novel is the best novel I read of John Grisham. This novel has a bit of everything: a a lot of humor, a bit of action, a bit of romance, and it has a lot of suspense. As  the story ends the suspense rises and doesn`t stop until the  last few pages.  It shows viewpoints of issues like spousal   abuse.  The best thing of this book is the complex plotting.	1996-06-22
US	52913349	R1SNRBWA3VFVHQ	0553375636	675959125	Royal Assassin (The Farseer Trilogy, Book 2)	Books	5	0	0	N	N	If you read fantasy you should read this	In the tradition of Lord of the rings (Tolkien) and Memory Sorrow and Thorn (Williams) here is another trilogy with an unlikely hero. Royal Assasin continues the story of Fritzchilvary, the bastard son of the late Chivalry. Despised by the current heir and recenly recovered form an attack by poison initiated by the curent heir to the throne he returns home to to find that things haven't become any better in is absence. This book relates the second part of Fitzchivalries life in which the red ship raiders become ever bolder and the plots of the enemies ever thicker resulting in the eventual evacuation of buckkeep.	1996-06-24
US	52943649	RENX4ZLYSJ4IQ	006091307X	183823737	The Crying of Lot 49 (Perennial Fiction Library)	Books	5	1	1	N	N	Has Oedipa Maas stumbled upon a conspiracy, or is she crazy?	The Crying of Lot 49 is truly one of the most amazing books  I've read -- period.  The story involves one Oedipa Maas and  the adventure she has while being the executor of Pierce   Inverity's will.  She encounters a possible postal conspiracy   dating back to Roman times, characters and stores that vanish   from the planet, and enough mysteries and confusion to last   a lifetime.<br />   This book must be analyzed at some level as you   read it to take full advantage of all the layers, symbols,   and themes.  The more you analyze it, the better it gets, but   the more you have to analyze!  I still don't know how   Pynchon keeps everything separate!	1996-06-26
US	53090280	R1R1V2QRQ87Q92	0440178002	191357398	Shogun (Asian Saga)	Books	5	1	1	N	N	Excellent historical fiction, well written	It really happened: only the names have been changed...<BR>  Yoshi Toranaga was Tokugawa Ieyasu, the founder of the  Tokugawa Shogunate. There really was a Battle of Sekigahara,    although Ishido (Ishida Mitsunari) was beheaded, not buried   while passers-by sawed at his neck... Toda Buntaro   (Lord Hosokawa) had a Christian wife, Gracia (who appears   in the story as Mariko). The Taiko was Toyotomi Hideyoshi,   and he really did order an invasion of Korea. The dictator   Goroda was Oda Nobunaga, and he was a nasty S.O.B., even   by daimyo standards. <br />   [...] &quot;The Crisis Manager&quot;	1996-06-26
US	53095840	RUTNBUEI0UL9J	0399103422	638098276	The Godfather	Books	5	1	1	N	N	The Godfather - An Amazing Book	Whoa!!! This book makes you an offer you can't refuse! It's like when you start this book, you have this ENORMOUS need to finish it! The Movie Is an American Masterpiece, but if you haven't read  the book, you're only getting Half the story! I doubt i'll read  another book, quite as amazing as this one, any time soon!	1996-06-26
US	53089504	R346RIQWOD8NRU	0316920045	669738240	Infinite Jest: A Novel	Books	5	1	2	N	N	The book's only fault is that it is not infinite in length.	This book rocks.  Footnotes in fiction?  Fascinating.  By page 77 I was sad because I knew that someday much too soon I would finish it. It is engaging, captivating, mesmerizing; and at 1000 pages, much too short.	1996-06-27
US	53095999	R2CHLA5YE85XTN	0887307876	59233487	The Dilbert Principle: A Cubicle's-Eye View of Bosses, Meetings, Management Fads & Other Workplace Afflictions	Books	5	1	1	N	N	If you read one business book this year, read this.	Uncannily accurate and devastatingly funny. You'll want to xerox<br />every second cartoon and send it to somebody in your company.	1996-07-04
US	53088994	R254JHYA1ZTH3X	0812505085	404458421	Treasure Island (Tor Classics)	Books	5	0	0	N	N	Treasure Island is a book to enjoy and learn from	Treasure Island was written by Robert Louis Stevensonand is considered by many to be his best novel, topping,among others, &quot;The Strange Case of Dr. Jekyll and Mr. Hyde,&quot; &quot;Kidnapped,&quot; and &quot;The Master of Ballantrae.&quot;  Perhaps it is  because of his superb use of symbolism; the name Jim Hawkins containing the word &quot;hawk,&quot; the name of a very majestic bird.  Maybe its because of its because of the book's excellent excellent storyline, full of excitement and fantasy.  Re- gardless of the book's best quality, if there is just one, it is wonderful reading for young and old.  Don't miss it!	1996-07-05
US	52313202	R3US1ZDVOVCOEY	044651652X	879659950	The Bridges of Madison County	Books	5	0	1	N	N	Amazing	This book is a &quot;must&quot; for all of us that dream of that one &quot;perfect&quot; love that comes but once in a lifetime.  If you want to be transported to another time and place and realm in all that love has to offer, this book is exactly what you have been searching for	1996-07-05
US	53088994	R3K2Y1EA5H3AES	0812505085	404458421	Treasure Island (Tor Classics)	Books	5	1	1	N	N	Treasure Island is a book to enjoy and learn from	Treasure Island was written by Robert Louis Stevenson and is considered by many to be his best novel, topping,among others, &quot;The Strange Case of Dr. Jekyll and Mr. Hyde,&quot; &quot;Kidnapped,&quot; and &quot;The Master of Ballantrae.&quot;  Perhaps it is because of his  because of his superb use of symbolism; the name  Jim Hawkins containing the word &quot;hawk,&quot; the name of a very majestic bird.  Maybe its because of its because of the book's excellent  excellent storyline, full of excitement and fantasy.  Re- gardless of the book's best quality, if there is just one, it is wonderful reading for young and old.  Don't miss it!	1996-07-05
US	52947415	R19I4TN6ABH4N2	0374266425	380749586	Sophie's World: A Novel about the History of Philosophy	Books	5	0	0	N	N	Manna from heaven - at last  a lucid look at life's puzzles.	This book combines all the elements that grab me and ensnare me,viz.suspense, mystery, intellectualising but in an accessible form. I've always wanted to learn more about the history of philosophy but it is a severely daunting subject usually encased in great tomes that intimidate far more than they entice.  Jostein Gaarder makes one wonder why everyone else always over complicated the matter. I wish I could be chosen   as someone's Sophie and could enter a world of wonder and discovery, constantly being stimulated towards deeper  understanding of our un-understanding.	1996-07-05
US	52397038	R30UNZ6O6CCV7C	0440133688	515227012	The House of God: The Classic Novel of Life and Death in an American Hospital	Books	5	0	0	N	N	Must read for any medical student! True and funny!	If you have anything to do with medicine - except from being a patient - read this! Amazingly funny in the beginning it turns to become more and more cynic. Includes the 10 rules of the House of god! If you don't have this book - get it now	1996-07-07
US	53088143	RFONLV2ZLVA4E	0345349571	162225088	A Distant Mirror:  The Calamitous 14th Century	Books	2	19	39	N	N	Fact-filled, but disorderly, uninteresting, and down right	Barbara Tuchman's attempt at this is unbelievable.  The  book is essentially a rambling of medival history which often refers back to a certain dynasty.  It is filled with  hundreds of obscure French names which have nothing to do  with anything.  Tuchman jumps from one topic to another,   creating a loose (even non-existant) organization which  leaves the reader lost and confused.  Tuchman seems to   think that her reader already knows the information she  is trying to convey.  It is almost as if Tuchman sat down  at a typewriter and asked herself, &quot;what do I know about  medival European history?&quot; and then wrote whatever came to  her mind, when ever it came to her mind.  With the exception  of the 5th chapter, which details the death and suffering  of millions during the various plagues, the novel is as dry  as sand.  The book's only merit is its informational value,  which if the reader can follow, or for that matter even  stay awake, he may gain something from this book.	1996-07-10
US	53089547	RLDJG5NNJP78W	0060916540	876635042	Touching the Void: The Harrowing First Person Account Of One Man's Miraculous Survival	Books	5	0	0	N	N	A compelling read for all climbers, airchair or real	Joe Simpson's writing style is perfectly balanced for  creating a sense of sustained tension. I read this book  in two sittings and found it to be among the best adventure  books I have ever read. Simpson's follow-up book, &quot;The Game   of the Ghosts&quot; is a must read after this one.  After reading &quot;Touching the Void&quot; I find myself looking at  personal motivation in a different light.	1996-07-11
US	53077677	R13LA3PORTAGI3	0345349571	162225088	A Distant Mirror:  The Calamitous 14th Century	Books	4	2	2	N	N	Medieval Knights and Days; Brilliant and Overwhelming	<br />Barbara Tuchman's work is in the genre of the essayists of the 19th century. Like them, she is erudite, humorous, and  at times, disorganized. <br />But how could it be otherwise? Imagine writing such a work about the 20th century, attempting to describe for  someone 600 years hence how we have   lived over these last hundred years, and how we have changed.<br />   This is a work which some may wish to plow though in several days; others will   put it by their best arm chair and read a section at a time. <br />   Given the horror of Bosnia, the tedium of politics, and the    daily drudge (which at times seems in spirit to be remarkably similar to that which Tuchman describes) such a work of Tuckman's can lift us up and help us to see beyond our own calamitous   century -- plus ca change; plus la meme chose.   <br />   KRH<BR>   [...]	1996-07-11
US	53091267	R3HR895XWW82C4	0887307876	59233487	The Dilbert Principle: A Cubicle's-Eye View of Bosses, Meetings, Management Fads & Other Workplace Afflictions	Books	5	5	5	N	N	Management exposed!	Not since the discovery of Parkinson's Law and the formulation of The Peter Principle has there been anything quite as poignant and timely as the conception of The Dilbert Principle. &quot;The most ineffective workers are systematically moved to the place where they can do the least damage - MANAGEMENT.&quot; That's the essence and message of The Dilbert Principle. With over 250,000 copies in print and a meteoric rise to No. 1 on Business Weeks's hardcover business books best-seller list, this revenge of the cubicle dwellers is a mix of cartoon strips and Scott Adams' succinct observations describing ridiculous company policies and dysfunctional management practices. Not surprisingly, the message is coming in loud and clear in high places. Reengineering guru Michael Hammer has jumped on the Dilbert bandwagon by suggesting that &quot;there is more truth in one volume of Dilbert than there is in 10 volumes of Harvard Business School case studies.&quot; Dilbert pokes fun at organizations where nothing ever really changes except the business buzzwords and corporate slogans. Perhaps that's the secret of the strip's success, both in the U.S. and abroad. &quot;Everybody thinks Dilbert is making fun of somebody else's situation,&quot; suggests Adams, an ex-Pacific Bell cubicle dweller for the past nine years until he was &quot;downsized&quot; recently when his department came under new management. Is &quot;bitter irony&quot; the right phrase? Or perhaps the &quot;system getting even?&quot; In the book's introduction, under the heading &quot;The Evolution of Idiots&quot;, Adams expounds: Theory of Evolution (Summary) First, there were some amoebas. Deviant amoebas adapted better to the environment, thus becoming monkeys. Then came Total Quality Management. I'm leaving out some detail, but the theory itself also has a few holes that are best left unquestioned. By Bruno Lewandowski, Editor and Publisher of World Aero-Engine Review (WAER), a monthly jet engine newsletter	1996-07-13
US	53096224	R30F9CQBBRU8X2	0393037010	680723399	Master and Commander (Vol. Book 1)  (Aubrey/Maturin Novels)	Books	5	7	8	N	N	A Novel and a Series for people who like to read.	Rated 9 only because I lacked the courage to rate it 10.    If you like to read books you will probably be swept away  by this novel, the first of a thankfully long series by   Patrick O'Brian.    The subjects are the British Navy of the Napoleonic Wars and  two men: Aubrey -- a naval officer and (one quickly assumes)  one of the best sailors who has ever lived and Maturin -- a  physician and &quot;agent extraordinaire&quot; who seems to be  bent  on giving Thomas Jefferson a run for his money as  the man who knows the most of everything that could  be known.    O.K. so you don't like war, sailing, or the early 19th century.  After a few minutes reading this book, you will.  Even lazy  readers (myself for example) will suddenly develop a great  interest in the rigging of three-masted sailing vessels of  the era.      And did I mention, color, romance, and character   development?  A lot of natural science as well.    The publisher offers the whole set of Aubrey/Maturin  novels in hardback for a package price because many  who read the first will be tempted to just buy them  all and avoid any waits in between.  I'm certainly  tempted.	1996-07-16
US	53088211	R3NQXJT4K5RLOW	0345403959	388609856	Belgarath the Sorcerer (The Belgariad & The Malloreon)	Books	5	0	0	N	N	Great stuff! All the background for the other series!!	Thoroughly entertaining, plus it gives you insight into all the events and EVENTS that led up to the other series of books by Eddings.  I couldn't put it down!!	1996-07-19
US	52897738	R15ABRVX03262D	0070212570	8343212	Fried Green Tomatoes at the Whistle Stop Cafe	Books	5	1	1	N	N	A sweet, tender and funny world lives between these pages.	This is the kind of book that will take you out of whatever section of our often dreary, unkind world you inhabit, and settle you down in its own place.  You'll meet characters who know which rules to break,  and how to break them properly. The writing is lovingly  infused with the flavor of the south, and with a kind  of humor that an author couldn't take on if it weren't   genuine. And when it's over, you'll be sad that you don't  live in Whistle Stop, but it will be OK, because Whistle  Stop lives in this book and you can always reread it.	1996-07-20
US	53088064	RN0GUUPHB7C4F	0312932081	401439625	Ender's Game (The Ender Quintet)	Books	5	0	0	N	N	A shimmering,lyrical novel that's impossible to put down!	Ender's Game is an incredible,unforgettable book that will stay with you. It follows the early years of a &quot;Third&quot; child. A misfit in society. From his home on Earth to a military academy in space, it tells a gripping and unpredictable story that will keep you guessing until the shocking end. This is one of the few books to have made an everlasting emotional impact on me. I give it my highest recommendation	1996-07-22
US	53077320	R22WRIXSG0WE6U	0553208845	36215520	Siddhartha	Books	5	0	0	N	N	Yet Another Positive Response <p>	Hardly in need of further literary acclaim, Herman Hesses Siddhartha nonetheless forces this reader to relate yet another positive response.  From the standpoint of a recently undergraduated copywriter in need of a solid vision for the future, Siddharthas trials and eventual spiritual grounding and discovery are meaningful and, at last, comforting revelations that have forced me to examine my own spirituality, materialism, romances, and values.<br /><br />The importance of observing and feeling everything with an open heart and mind while following your own deepest inclinations and directions is the only way to truly determine where you belong, Siddharthas words and actions inform the reader.  From forest to town to river, Siddhartha is welcome and loved for he learns from and gives to all that come to know him.  He gives questions to a spiritual leader and passion to a woman.  He gives success to a business and instruction to a friend.  And finally, Hesses creation gives the reader inspiration and motivation for a closer look at every river along the way to greater self-understanding.<br /><br /> In honesty, when I was first commissioned to read Siddhartha I glanced through the first few pages and put it down for reasons I cannot recall.  Maybe I was too enveloped in the adventures of Henry Chinaski or engaged with the Coma Baby.  I cannot remember.  Anyway, I wish I had read the story then and I am glad I have read it now.	1996-07-23
US	52977241	RULWKAINTXAUR	0393314804	232683594	Trainspotting	Books	5	0	0	N	N	Surreal	So I cheated.  I haven't read the book, but I saw the movie, and if that is any indication, this is a book in the spirit of A Clockwork Orange and other drug-induced classics.  I highly recommend both the book and the movie to anyone at all interested in the obsessions of drug addicts and their culture	1996-07-25
US	53079289	R1JF53VJD09VQK	0440211727	883917886	A Time to Kill	Books	5	163	176	N	N	Its about Time!	Finally, A Time to Kill, John Grisham's first novel, is a feature length movie. I just read this book, but I knew it was realeased in 1989. I'm only thirteen, and this was my first Grisham book.  In this story, Grisham hits us with a subject that most might not like to discuss: child rape. Ten-year old Tonya Hailey is brutally raped and almost killed by two drunken rednecks; perhaps the saddest and hardest part to get through with the addition of little Tonya's dream of her father running to get her. After this horrid crime is committed, Tonya's father, Carl Lee exacts vengeance on the two rednecks, and kills them. He is put on trial, and lawyer Jake Brigance is introduced to us. He takes Carl Lee's case and must face his hated enemy, Rufus Buckley, in court. The days leading to the trial are filled with KKK threats, riots between blacks and the KKK, and several other chills and spills. Finally, the trial comes and the small town of Clanton, where the trial is held, is occupated by journalists, soldiers, KKK members, and thousands of blacks, as they all wait for the verdict on the edge of their seats..	1996-07-26
US	53095865	R17UEY9FS1S5EJ	0060175184	26202470	The Fourth Estate	Books	5	0	0	N	N	Fascinating fictional account of powerful media moguls	A serious all-encompassing look at the rags-to-riches versus silver spoon stories as only Jeffrey Archer can do.  This is the inspiring story of two men who have each built vast  media empires and are now battling to save them.   Their   daily decisions are fatally influenced by their backgrounds  as is the intricate network that links them together.  This   book is written by an expert in human affairs who writes an  easily readable and simply incredible novel.  Very highly  recommended.	1996-07-27
